    41/399     2.99G   0.04423   0.01022  0.005954    0.0604        23       640    0.2261    0.3533    0.3241    0.1319   0.04363  0.006874  0.009212
    42/399     2.99G   0.04225  0.009982  0.005212   0.05745        24       640     0.198    0.3717    0.3385    0.1485   0.04094  0.006728  0.006781
    43/399     2.99G   0.04207  0.009732  0.006517   0.05832        26       640    0.2693    0.4001    0.3692    0.1515    0.0442  0.006717  0.006133
    44/399     2.99G   0.04138   0.01019  0.005937   0.05751        19       640    0.2268    0.4182    0.3805    0.1876   0.04065   0.00666  0.006252
    45/399     2.99G    0.0409  0.009386   0.00557   0.05586        30       640    0.2885     0.543    0.4871    0.2376    0.0408  0.006639  0.006892
    46/399     2.99G   0.04184  0.009756  0.005217   0.05681        29       640    0.2985    0.4117    0.3899    0.1582   0.04038  0.006601   0.00543
    47/399     2.99G   0.03875  0.009657  0.004984   0.05339        24       640    0.2712    0.5176    0.3969     0.175   0.04074   0.00664  0.006054
    48/399     2.99G   0.03993  0.009791  0.005019   0.05474        34       640    0.2982    0.5642    0.4199    0.1989   0.04048  0.006745  0.006195
    49/399     2.99G    0.0394  0.009707  0.005568   0.05468        24       640    0.2519    0.5029    0.3588    0.1507   0.04423  0.006818  0.006313
    50/399     2.99G   0.03955  0.009175   0.00519   0.05391        23       640    0.3181    0.5099    0.4949    0.2259   0.04072  0.006645   0.00583
    51/399     2.99G   0.04063  0.009193  0.005163   0.05499        16       640    0.2569    0.5473     0.516    0.1811   0.04272  0.006806  0.005481
    52/399     2.99G   0.04139  0.009811  0.005162   0.05636        23       640    0.2863    0.5218    0.4309     0.183   0.04168  0.006708  0.005385
    53/399     2.99G   0.03903   0.01019  0.004775   0.05399        35       640     0.326    0.5058     0.426    0.2056   0.04145  0.006684  0.005634
    54/399     2.99G   0.03994  0.009925  0.004162   0.05403        33       640    0.2812    0.3986    0.4012    0.1717   0.04125   0.00657  0.005696
    55/399     2.99G   0.03904  0.009213  0.004645    0.0529        29       640    0.2413    0.5058    0.3688    0.1632   0.04145  0.006841  0.006574
    56/399     2.99G   0.03883  0.009535  0.004537   0.05291        29       640    0.2776    0.4969    0.3909    0.1765   0.04245  0.006649  0.004848
    57/399     2.99G   0.03887  0.009919  0.006573   0.05536        29       640    0.2439    0.3558     0.339    0.1632   0.04322  0.006577   0.00564
    58/399     2.99G   0.03848   0.00976  0.006275   0.05452        24       640    0.2677    0.3542     0.343    0.1582   0.04041  0.006859  0.006239
    59/399     2.99G    0.0377  0.009216  0.004319   0.05124        26       640    0.2725    0.5118    0.3494     0.141   0.04203  0.006656  0.005774
    60/399     2.99G   0.03979  0.009118  0.003592    0.0525        31       640    0.2457    0.3687    0.3923    0.1808   0.04292  0.006876  0.005273
    61/399     2.99G   0.03736  0.009326  0.004671   0.05136        24       640    0.2991    0.3983    0.3823    0.1722   0.03966  0.006653  0.005134
    62/399     2.99G   0.03724  0.009305  0.004375   0.05092        33       640    0.2582    0.4094    0.3808    0.1725   0.04078  0.006693  0.006693
    63/399     2.99G   0.03594  0.009821  0.004503   0.05026        31       640    0.2726    0.5231    0.3835    0.1756   0.03911  0.006738   0.00571
    64/399     2.99G   0.03799  0.008546  0.004188   0.05072        26       640    0.2971    0.5231    0.3883    0.1851   0.04004   0.00669  0.006431
    65/399     2.99G   0.03798  0.009069   0.00626   0.05331        20       640    0.2743    0.3917    0.3825    0.1718   0.04243  0.006865   0.00573
    66/399     2.99G   0.03707   0.00924  0.004773   0.05108        24       640    0.2948    0.5084    0.4088    0.1862   0.04045  0.006618  0.004548
    67/399     2.99G   0.03747  0.008705  0.004288   0.05046        22       640    0.3108    0.5084    0.4238    0.1938   0.03998  0.006554  0.005858
    68/399     2.99G   0.03652  0.008807  0.003873    0.0492        17       640    0.2844    0.5048    0.3569    0.1703   0.04057  0.006578  0.005728
    69/399     2.99G   0.03834  0.009046  0.004137   0.05153        33       640    0.2801    0.3613    0.3674    0.1776   0.04023  0.006529    0.0051
    70/399     2.99G   0.03677  0.009193  0.004549   0.05052        28       640    0.2891    0.5043    0.4037    0.1929    0.0398  0.006816  0.004427
    71/399     2.99G   0.03715  0.009104  0.004779   0.05103        28       640    0.2835    0.3915     0.358    0.1701   0.04071  0.006781  0.004863
    72/399     2.99G   0.03606  0.009447  0.004496   0.05001        27       640    0.2827    0.5488    0.4984    0.2939    0.0381  0.006881   0.00581
    73/399     2.99G    0.0364  0.008852  0.004148   0.04941        26       640    0.2831    0.5642    0.3794    0.1658   0.04026  0.006457  0.004802
    74/399     2.99G   0.03593  0.009216  0.003595   0.04874        27       640    0.2804    0.3789    0.3762    0.1649   0.03936  0.006824  0.004993
    75/399     2.99G   0.03557  0.008497  0.003507   0.04758        23       640    0.3032    0.3884    0.3891     0.194    0.0393   0.00651  0.004847
    76/399     2.99G   0.03566   0.00868  0.003989   0.04833        23       640    0.3088    0.3986    0.3956    0.1995   0.04015  0.006501  0.005019
    77/399     2.99G   0.03506  0.008835   0.00401    0.0479        23       640    0.2881    0.3789    0.3769    0.1864   0.03952  0.006291  0.005169
    78/399     2.99G   0.03584  0.008437  0.003511   0.04779        24       640    0.2789    0.3657    0.3595    0.1761   0.03909  0.006587  0.005594
    79/399     2.99G   0.03513  0.008684  0.003382   0.04719        26       640    0.3247    0.5188      0.43    0.1826   0.04078  0.006627  0.004769
    80/399     2.99G   0.03643   0.00869  0.004024   0.04914        27       640    0.3458    0.4737    0.4426    0.2202   0.03927  0.006786  0.005641
    81/399     2.99G   0.03515  0.009144  0.003135   0.04743        30       640    0.3342    0.5402    0.4388    0.1864   0.03874  0.006748  0.004952
    82/399     2.99G   0.03583   0.00852  0.003082   0.04743        19       640     0.305    0.4928    0.3836    0.1798   0.04052  0.006806   0.00643
    83/399     2.99G   0.03367   0.00897  0.003375   0.04602        26       640    0.3128    0.4264    0.4031    0.2017    0.0381   0.00689  0.006008
    84/399     2.99G   0.03455  0.008758  0.002926   0.04623        21       640    0.3114    0.5417    0.4748    0.2414   0.04053   0.00675  0.005763
    85/399     2.99G   0.03404  0.008355  0.004154   0.04655        26       640    0.3227    0.5417    0.4307    0.1923   0.04091  0.006807  0.005601
    86/399     2.99G   0.03478  0.008665  0.003854    0.0473        26       640    0.3062    0.4103    0.4166    0.1682   0.03995  0.006635  0.005074
    87/399     2.99G   0.03506  0.008358   0.00381   0.04723        24       640    0.3028    0.5702    0.4871    0.2469     0.041  0.006748  0.004619
    88/399     2.99G   0.03321  0.008602  0.003571   0.04539        38       640    0.2931    0.5161       0.5    0.2921    0.0406  0.006685  0.005412
    89/399     2.99G   0.03341  0.008671  0.002932   0.04501        25       640    0.3075    0.5062    0.4083    0.2102   0.04064  0.006888  0.005555
    90/399     2.99G   0.03366  0.008378  0.003884   0.04592        25       640    0.4153    0.5028    0.4808    0.2642   0.04174  0.006743  0.005707
    91/399     2.99G   0.03295  0.008511  0.003664   0.04512        19       640    0.2763    0.5357    0.4901    0.2173   0.03946  0.006599  0.006266
    92/399     2.99G   0.03405  0.008886  0.002578   0.04551        26       640    0.2996    0.5804    0.5085    0.2477   0.03891  0.006624  0.004982
    93/399     2.99G    0.0336  0.008513  0.003593   0.04571        25       640    0.4457    0.4999    0.4896    0.2508   0.03934  0.006548  0.005714
    94/399     2.99G   0.03276  0.008597  0.003361   0.04472        28       640    0.3681    0.5044    0.4797    0.2665   0.04071  0.006555   0.00503
    95/399     2.99G   0.03434   0.00866  0.003961   0.04696        25       640    0.3358    0.5312    0.5027    0.2767   0.04104  0.006563  0.005127
    96/399     2.99G   0.03375  0.008985  0.003936   0.04667        25       640    0.3565    0.5271    0.5086    0.2851   0.04002  0.006687   0.00515
    97/399     2.99G   0.03198  0.008277  0.003703   0.04396        28       640      0.31    0.4986    0.4795    0.2488   0.03934  0.006553  0.004615
    98/399     2.99G   0.03379  0.008799  0.003286   0.04588        26       640    0.3133    0.5533    0.5055    0.2594   0.03925  0.006506  0.004036
    99/399     2.99G   0.03335  0.008551  0.003078   0.04498        33       640     0.365    0.6388    0.5562    0.3042   0.04125  0.006575  0.004325
   100/399     2.99G   0.03225  0.008517  0.003164   0.04393        20       640    0.3632    0.5402     0.491    0.2624   0.03889   0.00653  0.004876
   101/399     2.99G   0.03229  0.008388  0.003372   0.04405        27       640     0.323    0.5182     0.457    0.2567   0.04184  0.006806  0.005641
   102/399     2.99G   0.03254  0.008308  0.002845   0.04369        29       640    0.3222    0.4956     0.395    0.2159   0.03891  0.006493  0.005006
   103/399     2.99G   0.03212  0.008336  0.002532   0.04299        24       640    0.3021    0.4141    0.3802    0.1745   0.03867  0.006659  0.005879
   104/399     2.99G   0.03239  0.008804  0.002716   0.04391        25       640    0.3442     0.537    0.4163    0.2168   0.03916  0.006787  0.005703
   105/399     2.99G   0.03103  0.008222  0.002398   0.04165        33       640    0.3272    0.5343    0.4223    0.2278   0.03808  0.006725  0.005595
   106/399     2.99G   0.03086  0.008156  0.002831   0.04184        28       640    0.3172    0.5387    0.4308    0.2233    0.0389  0.006638  0.004642
   107/399     2.99G   0.03068  0.008061  0.002726   0.04147        21       640    0.3261    0.5358    0.4968    0.3005   0.03786  0.006732  0.004904
   108/399     2.99G   0.03249  0.008278  0.002555   0.04332        31       640    0.3456    0.4986    0.4798    0.2939   0.04003   0.00672  0.004127
   109/399     2.99G   0.03204  0.008452  0.003312   0.04381        28       640    0.3615    0.5423    0.4924    0.2977   0.03843  0.006707  0.004146
   110/399     2.99G   0.03147  0.008322  0.002808    0.0426        25       640    0.3402    0.5362    0.4912    0.2633   0.04061  0.006659  0.004446
   111/399     2.99G   0.03176  0.008121  0.002826   0.04271        27       640    0.3389    0.5659    0.4051    0.2014   0.04084  0.006521  0.005501
   112/399     2.99G   0.03219   0.00811  0.002438   0.04274        22       640     0.297    0.5103    0.3711    0.1809   0.04049  0.006819  0.005079
   113/399     2.99G   0.03094  0.008062  0.002848   0.04185        26       640    0.3262     0.546    0.3898    0.1989   0.04052  0.006816  0.004712
   114/399     2.99G   0.03073  0.007957  0.002702   0.04139        25       640    0.3147    0.5014    0.4724     0.281   0.04202  0.006779  0.004901
   115/399     2.99G   0.03117  0.008265  0.002827   0.04227        17       640    0.3383    0.5073    0.4926    0.3066   0.04059  0.006513  0.005546
   116/399     2.99G    0.0316  0.008062  0.002511   0.04218        28       640    0.3441    0.5129    0.4277    0.2355   0.03871  0.006475  0.004205
   117/399     2.99G    0.0312  0.008011  0.002999   0.04221        29       640     0.306    0.5174    0.4958    0.2878   0.03857  0.006708  0.004583
   118/399     2.99G   0.03051  0.007717  0.002731   0.04096        14       640     0.304     0.406    0.3899    0.1883   0.03883  0.006883  0.006202
   119/399     2.99G    0.0309  0.008022  0.002628   0.04155        20       640    0.3131    0.5943    0.3848    0.1782   0.04083  0.006883  0.006266
   120/399     2.99G   0.03281  0.007817  0.002997   0.04362        26       640    0.3426    0.5914    0.4448    0.2156   0.03924  0.006849  0.004318
   121/399     2.99G   0.03142  0.007994  0.003224   0.04264        21       640    0.3262    0.4997    0.4108    0.2211   0.03929  0.007186  0.006185
   122/399     2.99G   0.03113  0.008184  0.002533   0.04185        27       640    0.3197    0.5012    0.4821     0.262   0.04022  0.006846  0.004703
   123/399     2.99G   0.02962  0.007971  0.002099    0.0397        25       640     0.312    0.5116    0.4903    0.2837    0.0393  0.006609  0.004504
   124/399     2.99G   0.03086  0.008155  0.003143   0.04215        25       640     0.313    0.5159    0.4953    0.2933   0.04026  0.006734  0.005191
   125/399     2.99G   0.03042  0.008439  0.003126   0.04198        31       640    0.3384    0.5028      0.49    0.2384   0.04047  0.007034  0.004659
   126/399     2.99G   0.03033  0.007734  0.002453   0.04052        27       640    0.3517    0.5657    0.5044    0.2353   0.03995  0.006951   0.00667
   127/399     2.99G   0.02973  0.008146  0.002653   0.04053        28       640    0.3254    0.5195    0.4882    0.2745   0.03888  0.006724  0.004901
   128/399     2.99G   0.03034  0.007912  0.003105   0.04135        33       640    0.3454    0.5488    0.5034    0.2908   0.03977  0.006814    0.0043
   129/399     2.99G   0.02987  0.008077  0.002856    0.0408        22       640    0.3624     0.571    0.4316    0.2218   0.04134   0.00682  0.004496
   130/399     2.99G   0.02971  0.008269  0.002713   0.04069        27       640    0.3278    0.5013    0.4869    0.2466   0.03846   0.00702  0.005731
   131/399     2.99G   0.02899  0.008046  0.002713   0.03975        26       640     0.316    0.5456    0.5085    0.2576   0.03985  0.006806  0.005416
   132/399     2.99G   0.03125  0.007894  0.002819   0.04197        24       640    0.3013    0.5387    0.5009     0.276   0.03705   0.00689  0.006367
   133/399     2.99G   0.03005   0.00782  0.002948   0.04082        25       640    0.3478      0.54    0.5024    0.2636   0.03984  0.006858  0.006473
   134/399     2.99G   0.02831  0.007568  0.002554   0.03843        27       640    0.2896    0.4967    0.4794    0.2767   0.04098    0.0072  0.007277
   135/399     2.99G   0.02961  0.007243  0.002681   0.03953        28       640    0.3292    0.5594    0.4938    0.2772   0.04109  0.007149  0.005787
   136/399     2.99G   0.03099  0.007768  0.003008   0.04177        29       640    0.3068    0.4911    0.4696    0.2643   0.03979  0.006932  0.005783
   137/399     2.99G   0.03006  0.007669  0.003656   0.04139        18       640    0.3527    0.5612    0.4153    0.2226   0.03939  0.006732  0.007339
   138/399     2.99G   0.02993  0.007726  0.002426   0.04008        30       640    0.3053    0.5069    0.3759    0.1887   0.03898  0.006739  0.009529
   139/399     2.99G    0.0297  0.007643  0.003172   0.04051        24       640      0.35    0.5458    0.4948    0.2438   0.03919   0.00677  0.005525
   140/399     2.99G   0.02933  0.007673  0.002261   0.03927        26       640     0.339    0.5293     0.495    0.2584   0.04028  0.006957  0.004813
   141/399     2.99G    0.0299  0.007347  0.002486   0.03974        24       640    0.3409     0.546    0.5054     0.288   0.03885  0.006675  0.004483
   142/399     2.99G   0.02787  0.007532   0.00208   0.03748        25       640    0.3264    0.5088    0.4871    0.2698   0.03752  0.006775  0.004589
   143/399     2.99G   0.02844  0.007707  0.003362   0.03951        28       640    0.3833    0.5664     0.418    0.1996   0.03789  0.006709  0.004851
   144/399     2.99G   0.02864  0.007714  0.002305   0.03866        29       640    0.3357    0.3946     0.369    0.1816   0.03925   0.00681  0.005015
   145/399     2.99G   0.02937  0.007913  0.002323   0.03961        31       640    0.3878    0.6396    0.5755    0.3263   0.04008  0.006617  0.004932
   146/399     2.99G    0.0284  0.007649   0.00319   0.03923        32       640    0.3352    0.5071    0.5061     0.276   0.04043  0.006887  0.005408
   147/399     2.99G   0.02863  0.007337  0.002259   0.03823        21       640    0.3284    0.5029    0.4933    0.2615   0.03849  0.006992  0.005104
   148/399     2.99G   0.02816  0.007527  0.002285   0.03797        21       640    0.3057    0.5044     0.482    0.2623   0.03962  0.006894  0.004751
   149/399     2.99G    0.0282  0.007348  0.002528   0.03808        19       640    0.3122    0.5073    0.4915    0.2812   0.03891  0.007012  0.005294
   150/399     2.99G   0.02823  0.007612  0.002571   0.03842        31       640    0.3608    0.5105     0.498    0.2687    0.0379  0.006948  0.005177
   151/399     2.99G    0.0275  0.007252  0.002794   0.03755        31       640     0.331    0.5044    0.4916     0.301   0.03838  0.006718  0.005044
   152/399     2.99G   0.02859  0.007689  0.002576   0.03886        31       640    0.3497    0.5116    0.5055    0.3046   0.03848  0.006633  0.005611
   153/399     2.99G    0.0281  0.007629   0.00309   0.03882        21       640    0.3478    0.5129    0.4293    0.2338   0.03734  0.006768  0.005401
   154/399     2.99G   0.02586  0.007519  0.002218    0.0356        22       640     0.342    0.5098    0.5044    0.2756   0.03846  0.006864  0.004793
   155/399     2.99G   0.02693  0.007446  0.002088   0.03647        27       640     0.329    0.5116    0.4942    0.2749   0.03812  0.007009  0.005427
   156/399     2.99G   0.02714  0.007419  0.001941    0.0365        22       640    0.3085    0.5099    0.4262    0.2234   0.03938   0.00705  0.006518
   157/399     2.99G   0.02668  0.007369  0.001731   0.03578        20       640    0.3376    0.5144    0.4959    0.2982   0.04007  0.006987  0.006646
   158/399     2.99G   0.02826  0.007212  0.001832    0.0373        21       640    0.3337    0.5028    0.4072    0.2096    0.0387  0.006786  0.005694
   159/399     2.99G   0.02835  0.007492  0.002083   0.03792        34       640    0.3631    0.5128    0.4971    0.2932   0.03861  0.006772  0.004514
   160/399     2.99G   0.02643  0.007367  0.002207     0.036        31       640    0.3399    0.5131    0.4978    0.2792   0.03881  0.006949  0.005573
   161/399     2.99G   0.02749  0.007433  0.003049   0.03797        25       640    0.3552    0.5343    0.5115    0.2556   0.03918  0.006866   0.00481
   162/399     2.99G   0.02606  0.007177  0.002515   0.03575        19       640    0.3287    0.5157    0.5002    0.2668   0.03861  0.006958  0.004239
   163/399     2.99G   0.02608  0.007037  0.002042   0.03516        19       640    0.3564    0.5693    0.5208    0.2607   0.03948  0.006806  0.004545
   164/399     2.99G   0.02777   0.00725  0.002232   0.03725        24       640     0.316    0.4956    0.4814    0.2797   0.04125  0.006961  0.004985
   165/399     2.99G   0.02649   0.00761  0.001948   0.03605        33       640    0.2964    0.4969    0.4657    0.2691   0.04054  0.006707  0.005082
   166/399     2.99G    0.0273  0.007292  0.001628   0.03622        31       640    0.3233    0.5372    0.4851    0.2836   0.03897   0.00702  0.005423
   167/399     2.99G   0.02649  0.007305  0.002747   0.03655        18       640    0.3053    0.5131    0.4943     0.283   0.03921  0.007117   0.00508
   168/399     2.99G   0.02703  0.006877  0.002031   0.03594        28       640    0.2952    0.5028    0.4833    0.2808   0.04078  0.007009  0.005537
   169/399     2.99G    0.0265  0.007168  0.001899   0.03557        30       640    0.3136    0.5028    0.4834    0.2387   0.03979  0.007051   0.00548
   170/399     2.99G   0.02646  0.006972  0.001855   0.03529        26       640    0.3328    0.4967    0.4812    0.2275   0.04073  0.007176  0.006322
   171/399     2.99G   0.02671  0.007498   0.00199    0.0362        27       640     0.345    0.5114    0.4908    0.2366   0.03828  0.007173  0.005192
   172/399     2.99G   0.02673  0.007307  0.001799   0.03584        30       640    0.3493    0.5172    0.5033     0.294   0.03951     0.007  0.004764
   173/399     2.99G   0.02631   0.00707  0.002394   0.03577        20       640    0.3852    0.5129    0.4882    0.2852   0.03896  0.007261  0.004982
   174/399     2.99G   0.02651  0.007364  0.002328    0.0362        26       640    0.3295    0.5114    0.4928    0.2946   0.03848  0.007228  0.005188
   175/399     2.99G   0.02612  0.007228  0.001809   0.03516        22       640    0.3242    0.5101    0.4862    0.2691   0.03894   0.00715  0.007249
   176/399     2.99G   0.02685  0.007345  0.002608   0.03681        24       640    0.3357    0.5111    0.4958    0.2905   0.03879  0.007201  0.006753
   177/399     2.99G   0.02587  0.007117  0.001942   0.03493        20       640     0.343    0.5142    0.4955    0.2871   0.03936  0.007142  0.005431
   178/399     2.99G   0.02604  0.006967  0.001906   0.03492        25       640    0.3402    0.5007    0.4813    0.2878   0.04028  0.007142  0.005229
   179/399     2.99G    0.0266  0.007735  0.002291   0.03663        27       640    0.3353    0.5157    0.4858    0.2616   0.03933  0.006878  0.005379
   180/399     2.99G    0.0258  0.007398  0.002531   0.03572        38       640    0.3273    0.5129    0.4823    0.2813   0.03925  0.006997  0.006253
   181/399     2.99G   0.02711  0.007234  0.002545   0.03688        20       640    0.3039    0.4997    0.4809    0.3003   0.04066  0.007106  0.005573
   182/399     2.99G   0.02641  0.007262  0.001537   0.03521        20       640     0.337    0.4982    0.4831    0.2822   0.03917  0.006881  0.007209
   183/399     2.99G   0.02696  0.007413   0.00223    0.0366        27       640    0.3438    0.5041    0.4955    0.3145    0.0397  0.006921  0.005669
   184/399     2.99G   0.02648  0.007464  0.002353    0.0363        26       640    0.3336    0.4926    0.4874    0.2898   0.03935   0.00709  0.005478
   185/399     2.99G   0.02526  0.007233  0.002173   0.03466        35       640    0.3508    0.5013    0.4881    0.2875   0.03904   0.00719  0.005849
   186/399     2.99G   0.02618  0.007561  0.001756    0.0355        30       640    0.3455    0.5081    0.4219    0.2272   0.03926  0.007069  0.007133
   187/399     2.99G   0.02608  0.007102  0.001898   0.03508        24       640    0.3362    0.5186    0.5078    0.3051   0.03903  0.006809  0.007331
   188/399     2.99G   0.02667  0.007508  0.002488   0.03667        20       640    0.4021     0.581     0.519    0.2851   0.03983  0.006879  0.008486
   189/399     2.99G   0.02631  0.007329  0.002408   0.03605        26       640    0.3149    0.5056    0.4944    0.3037   0.03918  0.007353  0.006539
   190/399     2.99G   0.02692  0.007037  0.002335   0.03629        22       640    0.3185    0.4997    0.4862     0.281   0.04033  0.006911  0.004892
   191/399     2.99G   0.02536  0.006834  0.002413   0.03461        27       640    0.3206    0.4971    0.4809    0.2596   0.03882  0.007096  0.004487
   192/399     2.99G    0.0258  0.007454  0.002108   0.03536        26       640      0.37    0.5373    0.5165    0.2718   0.03786  0.007018  0.004952
   193/399     2.99G   0.02481  0.007294  0.002182   0.03429        31       640    0.3351    0.5216    0.5166    0.3081   0.03766  0.007051  0.005019
   194/399     2.99G   0.02437  0.006932  0.001899    0.0332        20       640    0.3462    0.5114    0.4992    0.3026   0.03732  0.007038  0.005327
   195/399     2.99G   0.02526  0.007447  0.002061   0.03477        29       640    0.3429    0.5259     0.512    0.2724   0.03736  0.006963  0.004723
   196/399     2.99G   0.02605  0.007212  0.002344   0.03561        26       640    0.3483    0.5086    0.4908    0.2519   0.03745  0.006969  0.005455
   197/399     2.99G   0.02442    0.0068  0.001677    0.0329        20       640    0.3344    0.5142    0.5008    0.2826   0.03719  0.007262  0.006022
   198/399     2.99G   0.02474  0.006851  0.002174   0.03377        24       640    0.3363    0.4982    0.4789    0.2675   0.03977  0.007246  0.006818
   199/399     2.99G   0.02471   0.00697  0.001332   0.03301        27       640     0.328    0.5041    0.4766    0.2824   0.04034  0.007403  0.007841
   200/399     2.99G   0.02457  0.006864  0.001992   0.03342        21       640    0.3503    0.5084    0.4994    0.2869   0.04172  0.007151  0.006832
   201/399     2.99G   0.02443  0.006922  0.001848    0.0332        38       640    0.3147    0.5054    0.5036    0.2588   0.04143  0.007306  0.006826
   202/399     2.99G   0.02488  0.006671  0.001346    0.0329        25       640    0.3263    0.4967    0.4898    0.2805   0.04243   0.00709  0.006938
   203/399     2.99G   0.02504  0.006684  0.001182    0.0329        28       640    0.3595     0.506    0.4931    0.2499   0.04156  0.007003  0.007296
